source_vector,reference_type,reference_name,cosine_similarity,cosine_distance,euclidean_distance,l1_distance,dot_product
DJI_20240313112706_0003_V_frame93010_features,individual,0000226_03899_d_000001482_features,0.61516994,0.38483006,25.291522979736328,765.4991,511.17508
DJI_20240313112706_0003_V_frame93010_features,individual,0000226_03899_d_000001489_features,0.6923864,0.3076138,22.659915924072266,687.6609,577.6398
DJI_20240313112706_0003_V_frame93010_features,individual,0000226_03899_d_00000149_features,0.739238,0.26076192,21.396238327026367,655.72345,644.50757
DJI_20240313112706_0003_V_frame93010_features,individual,0000226_03899_d_0000014_features,0.7501278,0.24987209,20.103960037231445,603.3124,606.3584
DJI_20240313112706_0003_V_frame93010_features,individual,0000239_03333_d_000001011_features,0.6590308,0.34096903,24.209497451782227,723.0332,564.90155
DJI_20240313112706_0003_V_frame93010_features,individual,0000239_03333_d_000001012_features,0.6322142,0.3677857,25.032264709472656,759.27313,537.6792
DJI_20240313112706_0003_V_frame93010_features,individual,0000239_03333_d_00000102_features,0.67692703,0.32307297,22.45737648010254,690.5993,525.82684
DJI_20240313112706_0003_V_frame93010_features,individual,0000239_03333_d_00000103_features,0.79626,0.20374006,18.2004451751709,559.6921,647.13306
DJI_20240313112706_0003_V_frame93010_features,individual,0000239_03333_d_00000104_features,0.79531634,0.2046836,18.006595611572266,551.2838,627.4401
DJI_20240313112706_0003_V_frame93010_features,individual,0000239_03333_d_00000106_features,0.78645974,0.21354026,18.426223754882812,563.30774,623.38293
DJI_20240313112706_0003_V_frame93010_features,individual,0000239_03333_d_00000107_features,0.6528631,0.34713686,24.510604858398438,725.58704,563.0091
DJI_20240313112706_0003_V_frame93010_features,individual,0000239_03333_d_00000108_features,0.67238,0.3276201,23.599369049072266,708.3582,570.57117
DJI_20240313112706_0003_V_frame93010_features,individual,0000239_03333_d_0000010_features,0.62766993,0.37232995,25.633464813232422,789.1524,550.6348
DJI_20240313112706_0003_V_frame93010_features,individual,0000239_09866_d_000002512_features,0.6109375,0.38906252,24.953582763671875,743.97375,488.43552
DJI_20240313112706_0003_V_frame93010_features,individual,0000239_09866_d_000002520_features,0.690591,0.30940896,27.483104705810547,814.9058,748.8896
DJI_20240313112706_0003_V_frame93010_features,individual,0000239_09866_d_00000252_features,0.7505599,0.24944001,20.67045783996582,637.3861,640.8817
DJI_20240313112706_0003_V_frame93010_features,individual,0000239_09866_d_00000253_features,0.6421256,0.3578745,25.599689483642578,781.05676,580.4735
DJI_20240313112706_0003_V_frame93010_features,individual,0000239_09866_d_00000256_features,0.77975965,0.22024018,18.995990753173828,557.4525,638.7799
DJI_20240313112706_0003_V_frame93010_features,individual,0000239_09866_d_00000257_features,0.75361925,0.24638075,21.36602210998535,627.7173,684.21814
DJI_20240313112706_0003_V_frame93010_features,individual,0000239_09866_d_0000025_features,0.67939985,0.32060015,22.852073669433594,704.76733,553.26514
DJI_20240313112706_0003_V_frame93010_features,individual,0000240_01690_d_0000005_features,0.76782763,0.23217243,19.425636291503906,582.66284,623.8252
DJI_20240313112706_0003_V_frame93010_features,individual,0000243_00500_d_000000210_features,0.750744,0.2492559,20.6389102935791,635.65845,639.7493
DJI_20240313112706_0003_V_frame93010_features,individual,0000243_00500_d_000000212_features,0.7224779,0.27752203,22.05389976501465,662.3818,629.2023
DJI_20240313112706_0003_V_frame93010_features,individual,0000243_00500_d_000000214_features,0.6525239,0.34747595,24.448265075683594,727.1889,559.70966
DJI_20240313112706_0003_V_frame93010_features,individual,0000243_00500_d_000000219_features,0.6685202,0.33147973,22.6087703704834,684.37024,511.58017
DJI_20240313112706_0003_V_frame93010_features,individual,0000243_00500_d_00000022_features,0.7214807,0.2785192,20.27701187133789,625.16736,513.6681
DJI_20240313112706_0003_V_frame93010_features,individual,0000243_00500_d_00000023_features,0.77469325,0.22530687,20.01487922668457,633.0891,681.5552
DJI_20240313112706_0003_V_frame93010_features,individual,0000243_00500_d_00000024_features,0.69987476,0.3001253,23.177387237548828,732.80945,620.3468
DJI_20240313112706_0003_V_frame93010_features,individual,0000243_00500_d_00000025_features,0.786821,0.21317905,19.448049545288086,597.36163,690.7952
DJI_20240313112706_0003_V_frame93010_features,individual,0000243_00500_d_00000026_features,0.6888138,0.31118625,24.093793869018555,739.2871,630.5563
DJI_20240313112706_0003_V_frame93010_features,individual,0000243_00500_d_00000027_features,0.7887329,0.21126711,21.654518127441406,678.70264,795.5673
DJI_20240313112706_0003_V_frame93010_features,individual,0000243_00500_d_00000028_features,0.756631,0.24336892,22.017175674438477,672.28204,720.87317
DJI_20240313112706_0003_V_frame93010_features,individual,0000243_00500_d_0000002_features,0.7782868,0.22171307,18.59421730041504,583.7251,601.92896
DJI_20240313112706_0003_V_frame93010_features,individual,0000252_00001_d_000000111_features,0.7270547,0.27294528,21.734039306640625,672.0822,626.4934
DJI_20240313112706_0003_V_frame93010_features,individual,0000252_00001_d_000000112_features,0.7930131,0.20698673,19.173538208007812,589.21545,696.62085
DJI_20240313112706_0003_V_frame93010_features,individual,0000252_00001_d_000000113_features,0.6680267,0.3319733,22.927934646606445,685.813,527.71436
DJI_20240313112706_0003_V_frame93010_features,individual,0000252_00001_d_000000114_features,0.77341276,0.22658736,20.666227340698242,623.5544,709.65967
DJI_20240313112706_0003_V_frame93010_features,individual,0000252_00001_d_000000117_features,0.68680036,0.31319958,23.167747497558594,709.51154,587.0146
DJI_20240313112706_0003_V_frame93010_features,individual,0000252_00001_d_000000121_features,0.66312754,0.33687252,23.528589248657227,691.2518,544.8703
DJI_20240313112706_0003_V_frame93010_features,individual,0000252_00001_d_000000122_features,0.7406801,0.25931984,20.803813934326172,622.16406,617.80554
DJI_20240313112706_0003_V_frame93010_features,individual,0000252_00001_d_000000123_features,0.72723,0.27277005,21.07242774963379,632.3449,591.8436
DJI_20240313112706_0003_V_frame93010_features,individual,0000252_00001_d_00000012_features,0.7574647,0.24253517,20.369230270385742,636.834,646.00995
DJI_20240313112706_0003_V_frame93010_features,individual,0000252_00001_d_000000135_features,0.60860133,0.39139873,24.693132400512695,737.57916,472.09076
DJI_20240313112706_0003_V_frame93010_features,individual,0000252_00001_d_000000142_features,0.6538002,0.3461997,24.718963623046875,755.7388,573.39954
DJI_20240313112706_0003_V_frame93010_features,individual,0000252_00001_d_000000147_features,0.6519786,0.3480214,24.43305778503418,735.99554,557.8423
DJI_20240313112706_0003_V_frame93010_features,individual,0000252_00001_d_00000014_features,0.7060946,0.29390526,21.86115074157715,657.046,573.9743
DJI_20240313112706_0003_V_frame93010_features,individual,0000252_00001_d_00000015_features,0.6344886,0.36551142,27.688764572143555,850.62585,632.7332
DJI_20240313112706_0003_V_frame93010_features,individual,0000252_00001_d_00000016_features,0.6165339,0.38346618,25.848888397216797,788.9264,535.0233
DJI_20240313112706_0003_V_frame93010_features,individual,0000252_00001_d_00000017_features,0.6559619,0.34403807,24.749197006225586,751.8308,579.4669
DJI_20240313112706_0003_V_frame93010_features,individual,0000252_00001_d_00000018_features,0.76546323,0.23453677,22.04438018798828,683.8818,746.20105
DJI_20240313112706_0003_V_frame93010_features,individual,0000252_00001_d_00000019_features,0.6888443,0.3111558,23.571741104125977,719.74896,609.58057
DJI_20240313112706_0003_V_frame93010_features,individual,0000252_00001_d_0000001_features,0.7490599,0.25094002,19.59683609008789,610.60675,565.006
DJI_20240313112706_0003_V_frame93010_features,individual,0000256_03204_d_000003311_features,0.6798494,0.32015067,23.297061920166016,718.33105,575.4608
DJI_20240313112706_0003_V_frame93010_features,individual,0000256_03204_d_000003313_features,0.76085854,0.2391414,21.36609649658203,608.6825,704.85004
DJI_20240313112706_0003_V_frame93010_features,individual,0000256_03204_d_000003315_features,0.7123133,0.28768665,20.666410446166992,623.90393,513.57294
DJI_20240313112706_0003_V_frame93010_features,individual,0000256_03204_d_000003323_features,0.70042586,0.29957408,21.712553024291992,656.43274,549.141
DJI_20240313112706_0003_V_frame93010_features,individual,0000256_03204_d_00000333_features,0.651809,0.34819096,23.857454299926758,724.8003,532.72845
DJI_20240313112706_0003_V_frame93010_features,individual,0000256_03204_d_00000334_features,0.7016503,0.29834962,21.886640548706055,666.58716,562.745
DJI_20240313112706_0003_V_frame93010_features,individual,0000256_03204_d_00000335_features,0.67281234,0.32718766,23.576332092285156,738.7233,570.6083
DJI_20240313112706_0003_V_frame93010_features,individual,0000256_03204_d_00000336_features,0.7256627,0.27433735,21.240018844604492,652.7612,596.6625
DJI_20240313112706_0003_V_frame93010_features,individual,0000256_03204_d_00000338_features,0.724587,0.2754131,21.427692413330078,656.1607,603.7588
DJI_20240313112706_0003_V_frame93010_features,individual,0000256_03204_d_00000339_features,0.7567483,0.24325162,20.071170806884766,584.32947,626.5472
DJI_20240313112706_0003_V_frame93010_features,individual,0000256_03304_d_000003413_features,0.76036096,0.23963898,19.154760360717773,558.81055,573.3312
DJI_20240313112706_0003_V_frame93010_features,individual,0000256_03304_d_000003415_features,0.67833674,0.32166332,22.141796112060547,701.5279,510.99738
DJI_20240313112706_0003_V_frame93010_features,individual,0000256_03304_d_000003417_features,0.6782551,0.32174504,22.720584869384766,688.1512,543.608
DJI_20240313112706_0003_V_frame93010_features,individual,0000256_03304_d_00000342_features,0.6917591,0.3082407,24.467872619628906,770.2144,651.80896
DJI_20240313112706_0003_V_frame93010_features,individual,0000256_03304_d_0000034_features,0.75506157,0.24493837,20.361852645874023,634.36194,637.99634
DJI_20240313112706_0003_V_frame93010_features,individual,DJI_20240313112706_0003_V_frame102010_features,0.7952814,0.20471871,18.810306549072266,571.50696,683.7712
