source_vector,reference_type,reference_name,cosine_similarity,cosine_distance,euclidean_distance,l1_distance,dot_product
0000007_04999_d_00000365_features,individual,0000205_02019_d_00002012_features,0.74756676,0.25243324,23.284067153930664,747.0657,739.95776
0000007_04999_d_00000365_features,individual,0000205_02019_d_000020130_features,0.6237439,0.3762561,27.96584129333496,868.0633,608.5968
0000007_04999_d_00000365_features,individual,0000205_02019_d_000020131_features,0.62999225,0.37000775,27.12157440185547,843.37744,510.59647
0000007_04999_d_00000365_features,individual,0000205_02019_d_000020133_features,0.6599637,0.3400362,27.248416900634766,829.39624,701.6395
0000007_04999_d_00000365_features,individual,0000205_02019_d_000020134_features,0.72506714,0.27493274,24.0910701751709,738.9956,684.8353
0000007_04999_d_00000365_features,individual,0000205_02019_d_000020135_features,0.6586952,0.34130472,27.27260398864746,824.4494,698.1647
0000007_04999_d_00000365_features,individual,0000205_02019_d_000020136_features,0.6846554,0.31534457,26.751602172851562,805.74084,769.03827
0000007_04999_d_00000365_features,individual,0000205_02019_d_000020139_features,0.61264026,0.38735968,28.31345558166504,881.6098,594.31104
0000007_04999_d_00000365_features,individual,0000205_02019_d_00002013_features,0.5948506,0.4051494,28.992027282714844,934.19946,583.3468
0000007_04999_d_00000365_features,individual,0000205_02019_d_00002014_features,0.7245722,0.2754277,24.223575592041016,777.5338,713.48846
0000007_04999_d_00000365_features,individual,0000205_02019_d_000020154_features,0.7005055,0.29949462,25.204591751098633,779.76556,693.2489
0000007_04999_d_00000365_features,individual,0000205_02019_d_000020157_features,0.5437084,0.45629162,29.591045379638672,921.9402,441.0813
0000007_04999_d_00000365_features,individual,0000205_02019_d_00002015_features,0.6854544,0.31454557,25.590274810791016,823.7835,646.0968
0000007_04999_d_00000365_features,individual,0000205_02019_d_00002016_features,0.7249975,0.27500242,24.764142990112305,783.3712,791.2998
0000007_04999_d_00000365_features,individual,0000205_02019_d_00002017_features,0.667639,0.33236104,26.18570899963379,841.2025,620.2194
0000007_04999_d_00000365_features,individual,0000205_02019_d_00002018_features,0.6302198,0.36978024,28.44070816040039,924.9335,674.0566
0000007_04999_d_00000365_features,individual,0000205_02019_d_00002019_features,0.688509,0.311491,25.831069946289062,827.6017,702.0545
0000007_04999_d_00000365_features,individual,0000205_02315_d_000020211_features,0.69851863,0.3014815,25.076160430908203,794.18896,651.5124
0000007_04999_d_00000365_features,individual,0000205_02315_d_000020212_features,0.73158807,0.26841193,23.89256477355957,778.5631,709.5934
0000007_04999_d_00000365_features,individual,0000205_02315_d_000020213_features,0.7009891,0.29901093,25.239845275878906,807.31824,701.92456
0000007_04999_d_00000365_features,individual,0000205_02315_d_000020214_features,0.71105146,0.2889486,25.221721649169922,799.8129,760.8699
0000007_04999_d_00000365_features,individual,0000205_02315_d_000020215_features,0.6808764,0.3191235,27.31841468811035,865.8292,793.8521
0000007_04999_d_00000365_features,individual,0000205_02315_d_000020216_features,0.6510379,0.34896213,28.7211971282959,904.93207,768.45886
0000007_04999_d_00000365_features,individual,0000205_02315_d_000020217_features,0.7642021,0.235798,22.644088745117188,708.47906,778.5856
